"","TCGA-02-0055","TCGA-04-1332"
"AC005387.2",0.61,1.04
"AC005391.1",0,1.71
"AC005392.1",0,0.55
"AC005392.2",1.01,0.33
"AC005392.3",0,0
"AC005393.1",1.12,2.89
"AC005394.1",0,0
"AC005394.2",0,0.26
"AC005400.1",1.38,0.71
"AC005410.1",0,0.55
"AC005410.2",0.41,0.22
"AC005412.1",0,0
"AC005414.1",0.03,0.26
"AC005476.1",1.11,0.98
"AC005476.2",2.39,1.42
"AC005479.1",1.43,1.29
"AC005479.2",1.8,0.62
"AC005480.1",0,0.56
"AC005480.2",2.83,0
"AC005481.1",0.48,0.42
"AC005482.1",0,0
"AC005486.1",0,0.78
"AC005487.1",0.4,0.04
"AC005495.1",0.2,0.38
"AC005498.1",0.87,1.22
"AC005498.2",1.37,1.04
"AC005498.3",1.61,1.93
"AC005514.1",0,1.7
"AC005515.1",0,0
"AC005518.1",0,0
"AC005518.2",0,0
"AC005519.1",1.01,1.58
"AC005520.1",0,0.17
"AC005520.2",1.9,2.73
"AC005520.3",0,1.04
"AC005520.4",0,0
"AC005520.5",0.05,0.28
"AC005521.1",0.69,0.53
"AC005522.1",0,0.43
"AC005523.1",0.79,1.08
"AC005523.2",0,0
"AC005524.1",0,0.6
"AC005529.1",0,0.62
"AC005531.1",0.29,0
"AC005532.1",0.79,0.16
"AC005532.2",0,0
"AC005534.1",1.04,1.28
"AC005537.1",0.2,1.28
"AC005538.1",0,0
"AC005538.2",0,0
"AC005538.3",0,0
"AC005540.1",0,0.75
"AC005544.1",0.41,0.59
"AC005544.2",0,0
"AC005546.1",0.67,1.13
"AC005548.1",0,0
"AC005549.1",0,0
"AC005550.1",0,0
"AC005550.2",0,0.03
"AC005551.1",0,0.4
"AC005552.1",0.16,0
"AC005559.1",0,0
"AC005562.1",0.18,0.16
"AC005562.2",0,0
"AC005578.1",0.29,0
"AC005580.1",0,0
"AC005586.1",0.75,1.93
"AC005587.1",0.6,0.34
"AC005588.1",0,0
"AC005592.1",0.07,0
"AC005592.2",0,0
"AC005593.1",0.2,0.2
"AC005594.1",0.17,0.27
"AC005597.1",0,0
"AC005599.1",0.18,0.34
"AC005606.1",0,0
"AC005606.2",0.38,0.66
"AC005609.1",0,0
"AC005609.2",0,0
"AC005609.3",0,0
"AC005609.4",0,0
"AC005609.5",0.02,0.13
"AC005614.1",0,0.09
"AC005614.2",0,0
"AC005616.1",0,0
"AC005618.1",0.87,0.69
"AC005618.2",0,0
"AC005618.3",0,0
"AC005618.4",1.21,0.91
"AC005622.1",0.49,0.24
"AC005625.1",0,0.22
"AC005632.1",0,0
"AC005632.2",0,0
"AC005632.3",0.94,0.46
"AC005632.4",0.32,0
"AC005632.5",0,0
"AC005632.6",0.12,1.84
"AC005670.1",0.83,0
"AC005670.2",0,0
"AC005670.3",1.44,1.65
"AC005674.1",1.8,1.57
"AC005682.1",3.17,2.04
"AC005682.2",0.17,0
"AC005691.1",0,0
"AC005692.1",0,0.15
"AC005692.2",0,0
"AC005692.3",0,0.03
"AC005695.1",0.08,0.95
"AC005695.2",0,1.32
"AC005695.3",0,1.42
"AC005696.1",1.25,1.93
"AC005696.2",0,0
"AC005696.3",1.01,1.61
"AC005696.4",1,1.01
"AC005697.1",0,0
"AC005697.2",0.05,0.1
"AC005697.3",0,0
"AC005699.1",0.05,0.1
"AC005702.1",0,0
"AC005702.2",0,0.08
"AC005702.3",0,0
"AC005702.4",0,0
"AC005702.5",0,0.26
"AC005703.1",0,0
"AC005703.2",0,0
"AC005703.3",0,0.52
"AC005703.4",0,0
"AC005703.5",0.43,0.43
"AC005703.6",0,0
"AC005722.1",0,0
"AC005722.2",0,0
"AC005722.3",0.03,0.38
"AC005722.4",0,0
"AC005725.1",0.16,0.04
"AC005726.1",0,0.64
"AC005726.2",0,0.39
"AC005726.3",0,0
"AC005726.4",0,0
"AC005730.1",0,0
"AC005730.2",0.88,0.89
"AC005730.3",0.5,1.74
"AC005736.1",0,0.97
"AC005740.1",0.2,0.67
"AC005740.2",0.63,0
"AC005740.3",0,0
"AC005740.4",0.78,0.11
"AC005740.5",0,0.15
"AC005741.1",0,0
"AC005746.1",0.08,1.86
"AC005746.2",0.41,3.47
"AC005746.3",0.83,1.37
"AC005753.1",0.32,2.59
"AC005753.2",0.43,1.57
"AC005753.3",0.1,2.16
"AC005757.1",0,0.41
"AC005758.1",0,0
"AC005759.1",0.17,0.6
"AC005771.1",0,0
"AC005772.1",0,0
"AC005772.2",0.07,0
"AC005774.1",0,0
"AC005774.2",0,0
"AC005775.1",0.7,0.79
"AC005776.1",1.04,1.77
"AC005776.2",1.62,2.16
"AC005777.1",0,0
"AC005785.1",0.53,1.48
"AC005785.2",0.57,1.84
"AC005786.1",1.32,3.18
"AC005786.2",0.27,0.51
"AC005786.3",0,0
"AC005786.4",0.15,0.42
"AC005787.1",1.03,0
"AC005789.1",0,0
"AC005790.1",1.13,1.98
"AC005796.1",0.23,0.24
"AC005798.1",0,0
"AC005803.1",0.07,0.15
"AC005808.1",0,0
"AC005821.1",0.63,0.13
"AC005821.2",0,0.08
"AC005823.1",0,0
"AC005823.2",0,0
"AC005828.1",0,0.7
"AC005828.2",0.35,0.19
"AC005828.3",0,0
"AC005828.4",0.19,1.27
"AC005828.5",0.52,0
"AC005828.6",0,0.74
"AC005828.7",0.19,0
"AC005829.1",1.24,0.16
"AC005829.2",0.9,0.1
"AC005831.1",0.82,0.45
"AC005832.1",0,0.18
"AC005832.2",0,0.08
"AC005832.3",0.17,0
"AC005832.4",0,0
"AC005833.1",0.05,0.11
"AC005833.2",0.15,0.05
"AC005837.1",0.12,0.12
"AC005837.2",0,0
"AC005837.3",1.64,0
"AC005837.4",1.65,2.26
"AC005838.1",0,0
"AC005838.2",0,3.02
"AC005839.1",1.03,0.9
"AC005840.1",3.22,2.17
"AC005840.2",0.9,2.42
"AC005840.3",0.09,0.17
"AC005840.4",1.02,1.9
"AC005841.1",0,0
"AC005845.1",0.55,0
"AC005856.1",0.2,0.8
"AC005858.1",0,0
"AC005858.2",0,0
"AC005858.3",0,0
"AC005863.1",0,0
"AC005865.1",0.22,0.14
"AC005865.2",0.74,0
"AC005871.1",0,1.98
"AC005871.2",0,0
"AC005884.1",0,0.63
"AC005884.2",0,0
"AC005888.1",0,0.22
"AC005899.1",0,0.5
"AC005899.2",0,1.45
"AC005899.3",0,0
"AC005899.4",0,0
"AC005899.5",0,0.64
"AC005899.6",1.94,1.21
"AC005899.7",0.33,0.73
"AC005899.8",0.29,0.32
"AC005901.1",0,0
"AC005906.1",0.5,0
"AC005906.2",0.17,0.06
"AC005906.3",0.11,0
"AC005908.1",0,0
"AC005908.2",0,0
"AC005909.1",0.14,0
"AC005909.2",0.06,0
"AC005911.1",1.51,2.08
"AC005912.1",7.46,8.69
"AC005912.2",0.05,0.83
"AC005914.1",0.14,0.14
"AC005915.1",0,0
"AC005920.1",0,0
"AC005920.2",0,0.77
"AC005920.3",0,0
"AC005920.4",0,0
"AC005921.1",0,0
"AC005921.2",0,0
"AC005921.3",0,0.66
"AC005921.4",0.06,0
"AC005943.1",0,0
"AC005943.2",0,0
"AC005944.1",0,0
"AC005951.1",0,0
"AC005954.1",0,0
"AC005954.2",0.19,0
"AC005962.1",0.56,0.16
"AC005962.2",0.38,0
"AC005972.1",0,0.29
"AC005972.2",0,0.4
"AC005972.3",0.76,0.63
"AC005993.1",0,2.08
"AC005996.1",0.35,0.19
"AC005998.1",0,0.29
"AC005999.1",2.44,0.34
"AC005999.2",1.52,0.07
"AC006001.1",0.4,0.73
"AC006001.2",1.44,2.16
"AC006001.3",3.31,2.74
"AC006001.4",0,0
"AC006003.1",0,0
"AC006006.1",0,0
"AC006007.1",0,0
"AC006008.1",0.63,0.43
"AC006013.1",0,0
"AC006015.1",0,0
"AC006017.1",0.65,1.45
"AC006019.1",0,0.62
"AC006019.2",0,0.55
"AC006019.3",0,0.42
"AC006020.1",0.11,0
"AC006022.1",0,0
"AC006023.1",0,0.68
"AC006023.2",0.54,0.95
"AC006026.1",0.38,0.06
"AC006026.2",0,0
"AC006026.3",2.99,1.89
"AC006027.1",0,0
"AC006028.1",0,0.98
"AC006030.1",0.02,0.04
"AC006033.1",0,1.5
"AC006033.2",1.24,0.48
"AC006037.1",0,0
"AC006037.2",0,0
"AC006040.1",0,0.18
"AC006041.1",0,0
"AC006041.2",0.03,0.03
"AC006042.1",0.91,0.92
"AC006042.2",0.07,0.21
"AC006042.3",0.15,0.15
"AC006043.1",0.1,0.19
"AC006055.1",0.25,0
"AC006058.1",0.6,0.02
"AC006058.2",0,0
"AC006058.3",1.05,0
"AC006058.4",0.45,0.07
"AC006059.1",1.25,1.63
"AC006059.2",0,0
"AC006059.3",0,0
"AC006059.4",0,0
"AC006059.5",0.39,0.23
"AC006062.1",0.13,0
"AC006063.1",0,0
"AC006063.2",0,0
"AC006063.3",0,0
"AC006063.4",0.06,0
"AC006064.1",0,0.76
"AC006064.2",0.19,0.8
"AC006064.3",0.97,0.98
"AC006064.4",0,0
"AC006064.5",0,0
"AC006064.6",0,0
"AC006065.1",0.13,0
"AC006065.2",0,0
"AC006065.3",0,0
"AC006065.4",0,0.48
"AC006065.5",0,0
"AC006065.6",0,0
"AC006076.1",0,0
"AC006077.1",0,0
"AC006077.2",1,2.39
"AC006111.1",0,0
"AC006111.2",0.44,1.64
"AC006111.3",0.68,1.15
"AC006112.1",0,0
"AC006115.1",0,0.47
"AC006115.2",0.13,0.24
"AC006116.1",0.32,0.24
"AC006116.2",0.39,1.36
"AC006116.3",0,0
"AC006116.4",0.23,1.25
"AC006116.5",0,0.88
"AC006116.6",0.1,0.28
"AC006116.7",0.05,0.44
"AC006116.8",0,0.2
"AC006116.9",0.3,0.33
"AC006122.1",0.47,1.6
"AC006127.1",0,0
"AC006128.1",1.31,2.77
"AC006130.1",0,0
"AC006130.2",0,0.56
"AC006130.3",1.44,0.86
"AC006133.1",0,0
"AC006141.1",0,0.55
"AC006144.1",0.07,0.07
"AC006144.2",0.34,0.18
"AC006146.1",0,0
"AC006148.1",0.03,0
"AC006148.2",0,0
"AC006150.1",0,0
"AC006153.1",0,0
"AC006157.1",0.27,0
"AC006158.1",0,0
"AC006158.2",0,0
"AC006158.3",0,0
"AC006159.1",0.26,1
"AC006159.2",0,0
"AC006160.1",0.69,0.41
"AC006160.2",0,0
"AC006195.1",0,0.22
"AC006196.1",0,0
"AC006197.1",0,0.74
"AC006197.2",0.1,0.2
"AC006199.1",0,0
"AC006205.1",0,0
"AC006205.2",0,0.5
"AC006206.1",0,1.07
"AC006206.2",0.07,3.68
"AC006207.1",0,0.15
"AC006213.1",0.79,0.13
"AC006213.2",1.2,0.51
"AC006213.3",0.5,1.26
"AC006213.4",1.82,1.74
"AC006213.5",1.22,1.53
"AC006213.6",0.39,0.36
"AC006213.7",1.32,1.28
"AC006230.1",0.28,0.24
"AC006236.1",0,0.37
"AC006237.1",0.21,0.4
"AC006238.1",0.52,0.37
"AC006238.2",0.38,0.2
"AC006249.1",0.72,1.21
"AC006252.1",0.87,1.14
"AC006254.1",0.21,0.9
"AC006254.2",0.35,0.35
"AC006254.3",0,0.23
"AC006262.1",0.15,0.38
"AC006262.2",0.35,0.24
"AC006262.3",0,0
"AC006262.4",0,0.63
"AC006270.1",0.21,1.3
"AC006270.2",0,0.2
"AC006272.1",0.87,0.19
"AC006272.2",0,0
"AC006273.1",0.53,0.86
"AC006277.1",1.1,0.74
"AC006288.1",0,0
"AC006296.1",0,0
"AC006296.2",0,0
"AC006296.3",0,0
"AC006299.1",0.08,0.14
"AC006305.1",0.07,0.1
"AC006305.2",0,0
"AC006305.3",0.26,0.07
"AC006320.1",0,0
"AC006326.1",0,0
"AC006328.1",0,0
"AC006328.2",0,0
"AC006329.1",0,0.26
"AC006330.1",0.39,1.12
"AC006335.1",0,0
"AC006335.2",0,0
"AC006338.1",0,0
"AC006338.2",0,0
"AC006348.1",0,0.06
"AC006349.1",0,0.41
"AC006355.1",0,0.11
"AC006355.2",0,0
"AC006357.1",0.37,1.8
"AC006362.1",0,0
"AC006363.1",0,0
"AC006364.1",0,0
"AC006366.1",0,0
"AC006369.1",0.39,0
"AC006369.2",0,0
"AC006372.1",0.06,0.11
"AC006372.2",0,0.14
"AC006372.3",0.11,0.41
"AC006372.4",0,0.07
"AC006378.1",0.77,0.25
"AC006380.1",0,0.5
"AC006386.1",0,0
"AC006386.2",2.02,1.03
"AC006390.1",0,0
"AC006398.1",0,0.13
"AC006427.1",0,0.15
"AC006427.2",0.08,0.16
"AC006435.1",0,0
"AC006435.2",1.16,2.67
"AC006435.3",0,0
"AC006435.4",0.41,0
"AC006435.5",0,1.26
"AC006441.1",0,1.28
"AC006441.2",0,0
"AC006441.3",0,0
"AC006441.4",0.11,0
"AC006441.5",0,0
"AC006445.1",0.25,0.25
"AC006445.2",0.22,0
"AC006445.3",0,0
"AC006449.1",0,0
"AC006449.2",1.88,1.83
"AC006449.3",0.18,0.87
"AC006449.5",1.04,1.15
"AC006449.6",2.71,1.43
"AC006449.7",0,0
"AC006450.1",0.41,0
"AC006450.2",0.48,0
"AC006450.3",0.51,0
"AC006452.1",0.08,0.34
"AC006453.1",0,0
"AC006453.2",0.27,0
"AC006453.3",0.09,0
"AC006453.4",0,0
"AC006455.1",0,0
"AC006455.2",0,0
"AC006455.3",0,0
"AC006455.4",0,0
"AC006455.5",0,0
"AC006455.6",0,0
"AC006455.7",0,0
"AC006455.8",0,0
"AC006457.1",0,0
"AC006458.1",0,0
"AC006459.1",0,0
"AC006460.1",2.04,0.18
"AC006460.2",0.43,1.44
"AC006463.1",0,0
"AC006466.1",0,0
"AC006478.1",0,0
"AC006478.2",0,0
"AC006480.1",0.27,0.27
"AC006480.2",0.8,1.68
"AC006482.1",0,0
"AC006483.1",1.88,1.69
"AC006483.2",0.2,0
"AC006484.1",0,0
"AC006486.1",0,0
"AC006486.2",0.7,1.85
"AC006486.3",0,0
"AC006487.1",0.09,0
"AC006487.2",0,0
"AC006499.1",0,0
"AC006499.2",0,0
"AC006499.3",0,0
"AC006499.4",0,0.15
"AC006499.5",0,0
"AC006499.6",0,0.17
"AC006499.7",0,0
"AC006499.8",0,0
"AC006504.1",0.52,1.63
"AC006504.2",0,0.23
"AC006504.3",0.52,1.82
"AC006504.4",0,0.2
"AC006504.5",1.25,1.61
"AC006504.6",0,0
"AC006504.7",2.42,3.22
"AC006509.1",0,0.32
"AC006511.1",0.31,0
"AC006511.2",0.66,0
"AC006511.3",1.94,1.39
"AC006511.4",0,0
"AC006511.5",0.05,0.05
"AC006511.6",0,0.28
"AC006512.1",0.34,0
"AC006512.2",0,0
"AC006517.1",0,0
"AC006517.2",0,0.52
"AC006518.1",0,0.11
"AC006518.2",0,0.19
"AC006525.1",0,0.12
"AC006529.1",0.16,1.5
"AC006530.1",0.34,0
"AC006538.1",1.81,1.72
"AC006538.2",0,0
"AC006538.3",0,0
"AC006538.4",0.04,0.13
"AC006539.1",0.69,0.95
"AC006539.2",0.49,0.18
"AC006539.3",0,0.68
"AC006547.1",0.96,1.89
"AC006547.2",0,0
"AC006547.3",0,0
"AC006548.1",0,0
"AC006548.2",0,0
"AC006548.3",0,0.45
"AC006557.1",0.1,0.36
"AC006557.2",0,0
"AC006557.3",0,0
"AC006557.4",0,0
"AC006557.5",0.25,0.13
"AC006557.6",0.61,2.34
"AC006566.1",0.67,1.84
"AC006566.2",0.1,1.06
"AC006581.1",0,0
"AC006581.2",0.42,0.6
"AC006600.1",0,0
"AC006600.2",0,0.04
"AC006840.1",0,0
"AC006924.1",0,0
"AC006927.1",0,0.21
"AC006927.2",0,0
"AC006927.3",0,0
"AC006927.4",0,0
"AC006927.5",0,0
"AC006942.1",0,1.03
"AC006946.1",0.3,0.96
"AC006946.2",0.54,1.26
"AC006946.3",0.27,0.87
"AC006947.1",0,0.57
"AC006960.1",0.58,0
"AC006960.2",0,0
"AC006960.3",0.15,0.91
"AC006963.1",0.37,0
"AC006967.1",0,0
"AC006967.2",0.24,0
"AC006967.3",0.1,0.1
"AC006970.1",0.26,1.92
"AC006970.2",0.14,0.14
"AC006971.1",0.05,0
"AC006972.1",0,0
"AC006974.1",0,0
"AC006974.2",0.09,0
"AC006978.1",4.23,3.09
"AC006978.2",0,0
"AC006986.1",0,0
"AC006987.1",0,0
"AC006989.1",0,0
"AC006994.1",0.02,0.1
"AC007000.1",1.68,1.83
"AC007000.2",0,1.19
"AC007000.3",0,0
"AC007001.1",0,0
"AC007003.1",0,0
"AC007009.1",0,0
"AC007012.1",0,0
"AC007012.2",0,0.35
"AC007014.1",0,1.54
"AC007014.2",0.71,0.98
"AC007016.1",1.68,1.37
"AC007029.1",0,1
"AC007032.1",0.24,0.24
"AC007036.1",0.84,0.85
"AC007036.2",0,1.28
"AC007036.3",0,0
"AC007036.4",0,0.6
"AC007036.5",0.1,0.05
"AC007038.1",1.35,1.11
"AC007040.1",0.21,1.1
"AC007040.2",0.19,0.32
"AC007040.3",0,1.13
"AC007064.1",0,0
"AC007064.2",0,0
"AC007064.3",0,0
"AC007064.4",0,0
"AC007066.1",2.14,2.51
"AC007066.2",1.63,1.33
"AC007066.3",0.3,1.28
"AC007091.1",0.92,0.07
"AC007092.1",0,0
"AC007098.1",0.8,0.79
"AC007099.1",0,0.41
"AC007099.2",0,0
"AC007099.3",0,0
"AC007100.1",0,0.18
"AC007100.2",0,0
"AC007106.1",0.06,0.03
"AC007106.2",0.03,0
"AC007114.1",1.78,1.95
"AC007114.2",0.03,0.2
"AC007115.1",0,0
"AC007126.1",0.05,0
"AC007128.1",0,1.18
"AC007128.2",0,1.13
"AC007130.1",0,0.4
"AC007132.1",0,0
"AC007136.1",0,0
"AC007151.1",0,0.72
"AC007159.1",0,0
"AC007160.1",1.29,0
"AC007161.1",0.44,0.39
"AC007161.2",0.1,0.1
"AC007161.3",0,0
"AC007179.1",0,0
"AC007179.2",0,0
"AC007179.3",0,0
"AC007182.1",0,0
"AC007182.2",2.83,2.77
"AC007182.3",0,0
"AC007191.1",0.78,1.94
"AC007192.1",0,0.04
"AC007192.2",0,0
"AC007193.1",0,0
"AC007193.2",0.22,0.41
"AC007193.3",0,0
"AC007204.1",0,1.5
"AC007204.2",0,0.59
"AC007207.1",0,0
"AC007215.1",0.35,0.36
"AC007216.1",0,0.6
"AC007216.2",0.68,1.86
"AC007216.3",1.05,1.2
"AC007216.4",0.97,1.25
"AC007216.5",0.77,0.78
"AC007218.1",0,0.31
"AC007218.2",0,0
"AC007218.3",0.12,0.23
"AC007220.1",0.66,0.45
"AC007220.2",0,0.72
"AC007221.1",0,0.08
"AC007222.1",0,1.56
"AC007222.2",0.09,0.84
"AC007223.1",0,0.75
"AC007224.1",0,0
"AC007224.2",0.68,0.54
"AC007225.1",0.27,0.33
"AC007225.2",0,0
"AC007237.1",0,0
"AC007238.1",1.39,0.74
"AC007240.1",1.09,2.16
"AC007240.2",0.65,0
"AC007240.3",1.15,1.39
"AC007241.1",0,0
"AC007241.2",0,0
"AC007250.1",0.54,0
"AC007253.1",0,0
"AC007255.1",0.15,0.46
"AC007262.1",0,0
"AC007262.2",0.24,0.18
"AC007269.1",0,0.21
"AC007271.1",0.2,0.14
"AC007272.1",0,0.45
"AC007274.1",0,0
"AC007274.2",0,0
"AC007274.3",0,0
"AC007275.1",0,0
"AC007277.1",0,0.86
"AC007277.2",0,0
"AC007278.1",0.6,0
"AC007278.2",0,0
"AC007279.1",0,0.14
"AC007283.1",0,0
"AC007285.1",0.37,0.81
"AC007292.1",0.86,1.17
"AC007292.2",0.42,0.89
"AC007292.3",0.51,0.73
"AC007298.1",0,0
"AC007298.2",0.12,0
"AC007308.1",0,0
"AC007312.1",0,0.38
"AC007314.1",0.35,0.35
"AC007317.1",0.04,0.09
"AC007317.2",0,0
"AC007318.1",1.01,0.53
"AC007319.1",0.32,0.12
"AC007322.1",0,0
"AC007322.2",0,0
"AC007322.3",0,0
"AC007322.4",0,0
"AC007326.1",0.59,0.59
"AC007326.2",0,0
"AC007326.3",0,0.53
"AC007326.4",0,0
"AC007326.5",0,0
"AC007327.1",0,0.37
"AC007327.2",0,0.42
"AC007333.1",0,0
"AC007333.2",0,0
"AC007336.1",0.42,0.49
"AC007336.2",0.19,0.19
"AC007336.3",0,0.1
"AC007342.1",0,0.82
"AC007342.2",0,0.26
"AC007342.3",0.3,0.05
"AC007342.4",0.08,0.35
"AC007342.5",0.05,0.33
"AC007342.6",0.08,0.16
"AC007342.7",1.38,1.11
"AC007342.8",0,0.3
"AC007342.9",0.15,0.36
"AC007343.1",0,0
"AC007344.1",1.9,0
"AC007346.1",0,0.08
"AC007346.2",0,0
"AC007347.1",0.35,0.87
"AC007347.2",0,0
"AC007349.1",0,0.61
"AC007349.2",0,0
"AC007349.3",0,0.24
"AC007349.4",0,0
"AC007350.1",0,0.06
"AC007351.1",0,0
"AC007351.2",0,0
"AC007351.3",0,0
"AC007351.4",0,0
"AC007359.1",0,0
"AC007362.1",0.31,0.9
"AC007363.1",0.17,0
"AC007365.1",0.57,0.7
"AC007368.1",0.02,0.74
"AC007370.1",0,0
"AC007370.2",0.04,0
"AC007375.1",0,0
"AC007375.2",0,0
"AC007375.3",0,0.26
"AC007376.1",0,0
"AC007376.2",0.51,0.52
"AC007378.1",0,0.41
"AC007381.1",0,0
"AC007382.1",0,0
"AC007383.1",2.23,2.94
"AC007383.2",0,0
"AC007383.3",0,0
"AC007384.1",1.1,0.98
"AC007387.1",0,0
"AC007387.2",0.22,0
"AC007389.1",0.08,0.09
"AC007389.2",0,3.83
"AC007389.3",0.78,1.53
"AC007390.1",0.42,0.85
"AC007391.1",0.38,0
"AC007391.2",0.24,0.24
"AC007391.3",0,0
"AC007402.1",0.05,0.06
"AC007402.2",0,0
"AC007403.1",0,0
"AC007405.1",0.14,0.94
"AC007405.2",0.09,0.33
"AC007405.3",1.67,2.62
"AC007405.4",0.19,0.51
"AC007406.1",0,0.32
"AC007406.2",0,0
"AC007406.3",0.77,1.36
"AC007406.4",2.26,2.72
"AC007422.1",0,1.52
"AC007423.1",1.44,0.17
"AC007431.1",0,1.14
"AC007431.2",0,1.41
"AC007431.3",0.18,1.58
"AC007432.1",0.05,0
"AC007435.1",0,0.5
"AC007448.1",0,0
"AC007448.2",0,0
"AC007448.3",0,0
"AC007448.4",1.08,1.65
"AC007448.5",0.87,1.22
"AC007450.1",0.49,0
"AC007450.2",0,0
"AC007450.3",0.39,0
"AC007450.4",0,0
"AC007458.1",0,0
"AC007461.1",0,0.1
"AC007463.1",0.23,0
"AC007463.2",0,0
"AC007483.1",0,0
"AC007485.1",1.99,1.33
"AC007485.2",2.4,2.32
"AC007490.1",0,0
"AC007491.1",0,0.04
"AC007493.1",0,0
"AC007493.2",0.21,0
"AC007494.1",0,0.39
"AC007494.2",0,0.38
"AC007494.3",0,0.39
"AC007495.1",0,0
"AC007496.1",0,1.31
"AC007496.2",0,1
"AC007496.3",0,0.88
"AC007497.1",0.18,0.87
"AC007497.2",0,0
"AC007511.1",0,0
"AC007513.1",0,0.27
"AC007527.1",0,0
"AC007527.2",0,0
"AC007528.1",0,0
"AC007529.1",0,0
"AC007529.2",0.1,0.1
"AC007533.1",0,0.78
"AC007535.1",0,0
"AC007536.1",0,0
"AC007537.1",0.81,1.71
"AC007540.1",0,0
"AC007541.1",2.01,1.62
"AC007546.1",0.63,0.35
"AC007546.2",0.89,0
"AC007546.3",0.1,0.15
"AC007547.1",0,0
"AC007547.2",0,0
"AC007551.1",0.37,0
"AC007551.2",0,0.49
"AC007552.1",0,0.22
"AC007552.2",0,1.19
"AC007556.1",0.32,0
"AC007557.1",0,0.52
"AC007557.2",0,0.74
"AC007557.3",0,0.2
"AC007557.4",0,0.45
"AC007559.1",0,0
"AC007560.1",3.23,1.4
"AC007562.1",0,0
"AC007563.1",0,0.65
"AC007563.2",0,0.52
"AC007563.3",0,0.49
"AC007566.1",1.47,1.02
"AC007566.2",0,0
"AC007568.1",0,0
"AC007569.1",0.24,0.29
"AC007570.1",0.59,0.17
"AC007595.1",0,0.22
"AC007598.1",0,1.26
"AC007598.2",0.19,0.66
"AC007598.3",0.06,1.05
"AC007599.1",0,0.26
"AC007599.2",0,0.4
"AC007601.1",0,1.1
"AC007601.2",0,0.83
"AC007603.1",0,0
"AC007603.2",0,0
"AC007603.3",0,0.11
"AC007608.1",0,0.81
"AC007608.2",0,1.36
"AC007608.3",0.08,0.56
"AC007608.4",0.03,1.36
"AC007610.1",0,0
"AC007610.2",0,0.16
"AC007610.3",0,0
"AC007610.4",0.15,0.1
"AC007610.5",0,0
"AC007611.1",0.7,0.3
"AC007613.1",0.12,0.27
"AC007614.1",0,0.02
"AC007614.2",0,0
"AC007618.1",0,0.15
"AC007619.1",0.25,1.79
"AC007619.2",0,1.28
"AC007620.1",0,0
"AC007620.2",0,0
"AC007620.3",0.21,1.17
"AC007621.3",0,1.05
"AC007622.1",0.19,0
"AC007622.2",0.26,0.76
"AC007631.1",0,0
"AC007637.1",0.22,1.9
"AC007638.1",0.06,0
"AC007638.2",0,0.24
"AC007639.1",0.45,1.37
"AC007649.1",0,0
"AC007652.1",0,0
"AC007652.2",0,0
"AC007652.3",0,0
"AC007655.1",0,0
"AC007655.2",0,0.06
"AC007656.1",0.25,0.71
"AC007656.2",0.49,0.18
"AC007656.3",0,0.05
"AC007656.4",0,0
"AC007663.1",0.64,1.76
"AC007663.2",0,0.23
"AC007663.3",0.87,1.67
"AC007663.4",1.22,1.31
"AC007666.1",0.59,0.44
"AC007666.2",0.07,0.39
"AC007671.1",0.35,0.36
"AC007673.1",0,0.1
"AC007679.1",0,0
"AC007681.1",0.34,2.09
"AC007682.1",0,0.06
"AC007683.1",3.49,1.86
"AC007683.3",0,0.15
"AC007684.1",0.65,0
"AC007684.2",0.97,0.72
"AC007686.1",1.65,2.67
"AC007686.2",0,0.4
"AC007686.3",0.87,1.82
"AC007686.4",0.22,1.23
"AC007686.5",0,0
"AC007687.1",0.32,0
"AC007688.1",0,0.89
"AC007688.2",3.4,2.41
"AC007688.3",0,1.04
"AC007690.1",1.3,1.11
"AC007695.1",0.06,0.73
"AC007718.1",0,0
"AC007728.1",0,0.13
"AC007728.2",0.6,0.06
"AC007728.3",0.14,0
"AC007731.1",0.96,1.48
"AC007731.2",1.35,0
"AC007731.3",0,0.56
"AC007731.4",0,0
"AC007731.5",0.5,0
"AC007736.1",0,0.38
"AC007741.1",0,0
"AC007742.1",0,0
"AC007743.1",0.23,0.82
"AC007744.1",0,0
"AC007749.1",0,0.34
"AC007749.2",0.04,0.38
"AC007750.1",0.43,0.29
"AC007751.1",0,0
"AC007773.1",1.57,2.12
"AC007780.1",0.11,0.17
"AC007785.1",0.3,0.55
"AC007785.2",0,0
"AC007785.3",0.3,0.16
"AC007786.1",0.56,0.66
"AC007786.2",0,0.75
"AC007786.3",0,0
"AC007786.4",0,0
"AC007787.1",0,0.67
"AC007787.2",0.33,1.28
"AC007792.1",0.25,0.47
"AC007795.1",0,0
"AC007823.1",0.79,0.48
"AC007834.1",0,0
"AC007834.2",0.53,0.75
"AC007842.1",1.39,3.01
"AC007846.1",0,0.38
"AC007846.2",0,0
"AC007848.1",0,1.66
"AC007848.2",0,0.62
"AC007849.1",0,4.27
"AC007861.1",0,0
"AC007861.2",0,0.18
"AC007876.1",0,0
"AC007877.1",3.79,1.12
"AC007878.1",0.31,1.45
"AC007879.1",0,0
"AC007879.2",0.87,0.19
"AC007879.3",0.76,0.1
"AC007879.4",0.51,0
"AC007879.5",0,0.14
"AC007880.1",0.06,0
"AC007881.1",0,1.41
"AC007881.2",0.34,0
"AC007881.3",0.7,0.82
"AC007881.4",0.8,1.06
